,Unnamed: 0,id,text_ids,question,answer
624,0,1856,[8154 8755 10180],What is the mechanism of action of Vildagliptin?,Vildagliptin inhibits the inactivation of GLP-1 and GIP
562,0,2001,[3274 2086 1700],What type of substitutions does hafnium triflate catalyze?,Nucleophilic substitutions
433,0,1470,[7739 1440],What is the name of the symmetry groups that classify the symmetries of a crystal both in space and in a two-valued property such as electron spin?,Magnetic space groups
1236,0,1699,[8031 654],What is the mechanism of action of drospirenone?,"It binds to the progesterone receptor, inhibiting ovulation, and alters the cervical membrane and endometrium"
542,0,1363,[10411 9623 2902 1447],What is the typical presentation of BMCF in cattle?,"Fever, depression, and discharge from the eyes and nose"
2022,0,1499,[12049 464 12876 4240],What is a hazardous substance that reacts violently with air and water?,Triisobutylaluminium
1000,0,875,[10952 5395 8491],What is the phenomenon by which neutrinos change their flavor?,Neutrino oscillation
1528,0,985,[12937 5399],What is the initial mass of the primary star of WR 137?,Around 100 solar masses
1350,0,1213,[10690 8833],What tissues does FAM129C protein express in?,"Lymph, bone marrow, and spleen tissue"
1921,0,1328,[2644 5173 11770 12920],What is the number of possible permutations of a decatonic scale?,"3,628,800"
780,0,485,[12036 2279 11263],What was the number of units of PDP-9 sold?,445 units
2183,0,2209,[10345 12998],What is the mass of Gliese 832 c compared to Earth?,It is approximately 5.2 times that of Earth
277,0,1568,[4759 2948],What is a maladaptation?,A trait that is more harmful than helpful
2063,0,2626,[2631 371],What is the condition for a 2x2 matrix to have M and -M as its square roots?,The matrix must be idempotent
419,0,2327,[11173 6663 1493],What is the name of the model that assumes individuals live for two periods and receive a fixed endowment of a physical good at birth?,The pure-exchange OLG model
1989,0,783,[11406 13021 4488],What is the year in which Štefan Znám proposed Znám's problem?,1972
396,0,2203,[6428 4207 6985],What is the molecular weight of the primary protein encoded by C7orf31?,"38,334 Da"
1157,0,2269,[8305 6209],What type of proteins does CD33 bind to?,Sialic acids
85,0,510,[6213 10384],What is the recommended use of Kanamycin?,It is recommended for short-term use only
1692,0,657,[2972 6435 2195],What is responsible for laying eggs and producing new bees in a bee colony?,Queen bees
468,0,1503,[1719 9820 8223 10954],What is the primary use of TEPP?,It is used as an insecticide to control various pests
273,0,2669,[5220 6118],What type of trailers do the 15-pin and 24-pin connectors connect to?,Heavy duty trailers
485,0,679,[7012 1442],What is GHB used to treat?,"Narcolepsy, cataplexy, and alcoholism"
1194,0,2542,[5607 6134],What is an elevated osmol gap caused by?,"Alcohols, sugars, lipids, and proteins"
1752,0,1367,[6213 10384],What are some potential side effects of Kanamycin?,"Hearing and balance problems, kidney problems, and allergic reactions"
1104,0,2637,[2177 3593 6107],What is the hardness of zirconium silicate?,It has a hardness of 7.5 on the Mohs scale
1427,0,2754,[3339 3373],What is the active site of a phospholipase A1 enzyme?,The active site is a serine
777,0,2275,[1332 3559],What is the microarchitecture used by the AMD Phenom family?,K10 microarchitecture
1356,0,189,[10578 12780 12145],What is the product of the epoxidation of trans-2-butene with m-CPBA?,"Trans-2,3-epoxybutane"
1750,0,1591,[4157 3846 651],What is the primary way in which the pathogen spreads to new leaves?,By rain splash
984,0,2182,[3140 4465 6441],What is the main function of phosphoglycolate phosphatase in plants?,It plays a crucial role in photorespiratory metabolism
2065,0,2454,[12493 3153 5415 10867],What type of objects are studied in the applications of the Sato-Tate Conjecture?,Prime numbers and elliptic curves
324,0,80,[648 2431],What is the main function of a planisphere?,A planisphere helps users recognize stars and constellations
2020,0,1442,[7751 3485 2515],What medication is used to prevent venous thromboembolism in the treatment of pulmonary heart disease?,Anticoagulants
1988,0,2743,[9060 10624 9507],What is a common symptom of Microscopic Polyangiitis?,Blood in the urine
921,0,2521,[10982 9852 6035 12257],What type of diseases can result from the dysregulation of condensins?,Primary microcephaly and T cell lymphoma
876,0,1694,[3237 7799 1076 138],What is the result of an accumulation of irreversible deleterious mutations in asexual populations?,An increase in genetic load and eventual extinction
1589,0,2091,[11388 2236],What is the main function of BPGM in erythrocytes and placental cells?,"It produces 2,3-BPG, which is essential for oxygen transport."
1329,0,295,[12368 1158 3198],What is the purpose of ASO titre estimation?,To diagnose streptococcal infection or indicate past exposure to streptococci
1503,0,1955,[3684 11610 7400 2619],What is used in the imaging of parathyroid glands to detect abnormal parathyroid glands in primary hyperparathyroidism?,Technetium (99mTc) sestamibi
633,0,2429,[5637 6731 3241],"What cofactors are required by Amorpha-4,11-diene synthase?","Mg2+, Mn2+, and Co2+"
1868,0,2354,[8969 5681 11032],What is the name of the law passed in 1992 that taxed blank digital media and enforced SCMS?,The Audio Home Recording Act
1467,0,807,[11869 10508 7548],What is the origin of axonometry?,It originated in China
813,0,633,[5731 7390],What is the primary purpose of biofilling in endodontics?,"To achieve a water-tight apical plug, preventing apical percolation of nutrient tissue fluid"
1131,0,1329,[1395 6837 2679],What is the cause of venous thrombosis?,A blood clot
2166,0,103,[697 12946],What type of thermochromic dye is used in applications where temperature response accuracy is not critical?,Leuco dyes
670,0,1615,[382 9888 7701],What type of bacteria is characterized by its thick peptidoglycan cell wall?,Gram-positive bacteria
2014,0,1475,[7976 12178 7657],What is the first DPP-4 inhibitor approved by the FDA?,Sitagliptin
1748,0,1151,[7972 3746],What is the main reason for the effectiveness of certain chloroethylnitrosoureas in the treatment of malignant tumors?,Their alkylability of guanine cytosine centers in the genetic material
1532,0,1034,[962 3197],What is the primary effect of HMR 1883 on ventricular fibrillation?,It attenuates and decreases ventricular fibrillation
884,0,1618,[1325 5315 11748],What is a characteristic of conformastatic spacetimes?,They have a line element with only one metric function to be identified
1163,0,1062,[9552 10669],What type of material is zinc oxide eugenol classified as?,An intermediate restorative material
2042,0,1032,[13202 1044],What is the shape of Methanocaldococcus sp. FS406-22?,Cocci
1306,0,134,[2779 12496],What is the sum of the squares of the deviations of the predicted values from the mean value of a response variable in a standard regression model?,The explained sum of squares (ESS).''
1138,0,1090,[11459 12732 6642],What is the structure of IL-33?,IL-33 has a β-trefoil structure
1262,0,664,[8976 10536],What is the typical duration of a stadial?,A thousand years or less
1432,0,284,[561 7912 3522],What is a way to suppress nanocrystal ionization in colloidal nanocrystals?,Growing a very thick semiconductor shell around the nanocrystal core
1151,0,941,[2141 8634 1310],"What is crucial in cooking, especially in baking?",Accurate measurements
1053,0,2207,[11988 4260 6245],What is the potency of androsterone compared to testosterone?,Androsterone is a weak androgen with a potency approximately 1/7 that of testosterone
29,0,2139,[10352 3910 9431],What protein is involved in stabilizing the interaction between IL-13 and the IL-13Rα1 chain?,IL-4Rα
48,0,1061,[5569 12817 6704],What is one of the underlying causes of pancytopenia?,Iatrogenic causes such as chemotherapy
760,0,921,[9519 2212 10305],What is the name of the test used to determine how well a patient absorbs vitamin B12 from their intestinal tract?,The Schilling test
967,0,1044,[348 1757 8467],What type of radiation did Explorer 48 measure?,Primary galactic and extragalactic gamma radiation
1212,0,1686,[4271 3054 4503],What is the main symptom of Epstein syndrome?,Thrombocytopaenia
1771,0,2288,[6084 79 3138 10945],What are the main causes of tonsil stones?,"The accumulation of material retained within the crypts, along with the growth of bacteria and fungi"
359,0,1890,[2730 4635 10443 6988],What is the temperature above which thermal maturity can affect GDGTs?,240°C
192,0,2676,[346 5079],What type of carbon backbone does isobutyronitrile have?,A branched carbon backbone
868,0,1052,[9382 278],What type of tops are described as rotating in a preferred direction and reversing their spin when spun in the opposite direction?,Rattlebacks
1043,0,1358,[7300 5981 6911],What is the function of the intermediate lobe in fish?,It plays an important role in regulating physiological color change
1955,0,2293,[2173 1221 2448],What is the agent of contagious bovine pleuropneumonia?,Mycoplasma mycoides subsp. mycoides
648,0,617,[7713 3280 2704],What is the earliest known time period when feliforms appeared?,"The earliest known feliforms appeared in the Middle Eocene, around 42 million years ago"
1703,0,242,[12634 5953],What is the Dirac operator used to describe in quantum field theory?,The propagation of free fermions
1537,0,2021,[8201 4504 7033 8057],What is the primary issue with using silicon dioxide as a gate oxide material?,"Leakage currents increase, leading to high power consumption and reduced device reliability"
1328,0,1914,[8987 1800 678 4581],"What is the G protein-coupled receptor that plays a crucial role in various physiological processes, including neuronal excitation, hallucinations, and fear?",The 5-HT2A receptor
1558,0,2776,[5726 5156 6583],What is a common risk factor for developing malignancy?,Smoking
1788,0,1177,[701 10293],What is the order of the automorphism group of the Gray graph?,1296
2147,0,2764,[10946 11714 10300],What is the color of DyCl3?,A white to yellow solid
157,0,1939,[6393 1363],What is the optimal growth temperature range for Metasolibacillus bacteria?,Between 30-37°C.
1838,0,877,[13160 3074],What catalysts can be used for the ring-opening polymerization of β-butyrolactone?,"Diethylzinc, tin compounds, strong bases, and cationic ring-opening polymerization"
1903,0,1566,[6190 75 4653 11125],What is the chromosome locus where the gene for EH3 was discovered?,19p13.13
1277,0,2598,[5736 6132 5587 3118],What type of chromatic aberration occurs when different wavelengths of light are focused at different distances from the lens?,Axial aberration
402,0,2600,[3215 6844 4637],What is the primary function of a solenoid?,It converts electrical energy into mechanical energy
1581,0,631,[11321 9085],What is an application of Rademacher distribution?,Bootstrapping
588,0,66,[8475 12129 5254],What is the molecular weight of the C22orf15 protein?,17 kdal
307,0,1867,[3939 7007 5009],What type of modification is the SARS-CoV-2 ORF7a protein subjected to?,Ubiquitination
1168,0,2412,[13310 8290],What is the name of the tarantula that contains the venom with VaTxs?,Psalmopoeus cambridgei
